st
-4.80
-0.20
0.40
12.10
18.70
20.40
23.00
25.90
21.20
14.90
6.10
1.90
-2.50
-0.70
2.00
11.20
16.60
21.60
23.90
24.60
20.60
13.00
8.70
-1.20
0.80
-0.60
5.30
11.40
16.40
21.70
25.70
23.00
19.00
13.80
5.10
0.60
0.40
0.60
4.50
12.30
17.40
21.40
26.80
25.90
20.30
13.00
4.80
-3.00
-2.50
-2.10
3.70
10.70
16.70
19.70
23.50
25.10
20.60
12.60
5.40
-0.60
-2.70
-0.80
4.40
13.30
16.70
21.40
24.90
27.00
22.60
15.40
9.00
-1.60
-3.90
2.80
4.80
11.30
16.70
21.30
23.10
23.70
19.90
13.70
3.50
0.40
-6.70
-2.40
5.40
12.50
17.40
22.50
26.00
24.60
21.50
16.70
7.60
2.40
-2.40
-2.50
4.20
11.50
18.50
21.90
26.40
25.80
20.90
14.50
7.90
1.60
0.80
0.60
6.00
11.20
16.50
21.40
24.30
25.40
20.10
15.90
5.70
1.40
-3.70
-3.20
5.20
10.10
16.50
21.60
22.70
22.80
19.60
13.00
8.60
-3.80
-7.10
-1.40
5.70
11.90
15.90
21.80
25.40
24.50
20.00
13.40
3.60
0.10
-3.60
0.60
5.90
12.30
17.90
21.90
25.10
25.40
20.80
15.80
7.90
-0.10
-1.70
-1.70
6.40
13.60
18.50
22.20
23.60
26.00
22.00
14.20
6.70
-1.10
-5.90
-3.50
2.50
12.10
18.20
22.60
25.20
26.30
20.10
13.80
8.10
-0.90
-5.90
-0.30
4.30
11.60
18.10
22.10
25.30
26.30
20.20
14.70
5.60
-3.40
-5.40
-3.30
4.90
11.90
17.10
21.90
23.50
24.50
19.90
12.70
5.20
1.90
-3.00
-0.10
4.00
10.80
17.00
22.40
23.70
24.40
20.10
15.50
7.50
0.90
-2.10
-1.50
4.30
11.30
17.90
22.30
24.40
26.40
21.40
15.00
5.50
0.10
0.80
2.40
6.10
14.30
17.90
21.20
24.50
25.50
20.70
13.60
7.10
1.40
-3.20
2.70
7.20
11.30
16.20
20.70
24.90
26.40
21.10
15.40
10.00
0.80
-2.60
-0.90
4.90
13.00
17.50
22.60
24.30
25.50
21.10
13.80
6.50
2.20
-0.20
0.70
7.60
12.00
16.40
20.90
24.80
24.80
20.90
14.00
6.20
1.50
-1.90
1.00
5.80
10.60
18.20
21.30
22.30
23.20
21.20
13.40
8.50
-0.20
-0.90
0.80
4.00
15.20
17.90
22.80
28.50
27.60
21.00
15.20
9.30
1.10
-2.10
1.20
6.00
11.30
17.10
21.60
24.50
26.00
20.00
15.50
6.20
-1.00
-2.20
-1.60
4.90
10.20
18.40
22.30
24.40
26.00
22.00
14.50
6.10
1.60
-3.20
0.70
6.80
13.00
17.00
23.40
26.10
26.80
20.20
13.40
8.80
1.80
-1.30
3.40
7.30
15.60
19.00
21.90
24.90
25.00
23.00
17.00
7.30
2.30
-0.80
0.70
6.70
13.90
17.50
23.10
25.90
26.00
22.90
14.30
7.90
0.40
-2.10
-1.70
6.30
11.90
17.50
23.70
26.80
26.20
20.70
14.90
7.00
0.90
-4.10
-0.30
5.00
13.60
19.10
22.50
25.90
26.50
22.50
16.50
7.00
-0.60
0.30
2.90
7.60
13.60
18.20
22.20
25.20
24.20
21.60
12.80
4.00
1.70
-2.50
2.70
6.50
13.20
19.60
21.50
23.80
24.10
20.90
13.90
9.50
0.70
-1.50
2.30
6.30
13.10
17.60
23.20
24.80
26.10
21.70
15.20
9.10
1.90
-2.50
-1.90
4.10
13.20
17.70
22.70
25.30
25.10
21.80
14.70
8.60
-3.90
-0.20
0.10
5.20
11.60
18.40
21.80
23.10
27.00
21.10
17.90
8.40
1.40
0.40
4.00
6.10
11.40
18.10
23.20
24.20
26.50
21.50
15.10
6.70
1.80
-1.70
-1.20
7.30
14.10
17.70
21.50
25.10
