spi,cpi,er,house,apt,rc
832.20 ,73.64 ,812.76 ,67.30 ,52.10 ,11.90 
805.40 ,73.99 ,816.81 ,67.40 ,52.20 ,12.30 
783.40 ,74.13 ,821.76 ,67.70 ,52.70 ,12.20 
806.70 ,74.13 ,827.61 ,67.80 ,52.90 ,12.10 
740.90 ,74.13 ,828.18 ,67.90 ,53.00 ,12.20 
690.60 ,74.41 ,839.02 ,67.90 ,53.30 ,12.60 
669.60 ,74.97 ,849.88 ,68.70 ,54.40 ,12.20 
698.10 ,75.39 ,866.85 ,69.30 ,55.30 ,12.20 
656.70 ,75.67 ,879.41 ,69.50 ,55.60 ,12.70 
694.30 ,76.02 ,893.56 ,69.60 ,55.70 ,12.50 
713.10 ,76.09 ,892.05 ,69.50 ,55.70 ,12.20 
765.20 ,76.23 ,889.49 ,69.50 ,55.60 ,11.70 
752.30 ,76.37 ,890.50 ,69.50 ,55.70 ,11.90 
740.50 ,76.92 ,895.90 ,69.50 ,55.90 ,12.10 
676.50 ,77.27 ,909.53 ,69.70 ,56.20 ,12.40 
584.10 ,77.27 ,921.85 ,69.70 ,56.30 ,12.50 
494.10 ,77.34 ,1025.58 ,69.60 ,56.10 ,14.10 
390.30 ,79.30 ,1484.08 ,69.30 ,55.80 ,24.30 
475.20 ,81.19 ,1706.80 ,68.70 ,55.30 ,23.40 
525.20 ,82.58 ,1623.06 ,67.90 ,54.20 ,19.80 
523.00 ,82.44 ,1505.28 ,66.00 ,52.70 ,19.00 
444.20 ,82.72 ,1391.97 ,64.10 ,51.00 ,18.10 
356.30 ,82.30 ,1394.62 ,62.60 ,49.50 ,17.90 
313.30 ,81.96 ,1397.18 ,61.60 ,48.70 ,16.60 
327.80 ,81.96 ,1300.77 ,61.40 ,48.60 ,13.70 
312.80 ,82.23 ,1303.22 ,61.40 ,48.80 ,12.40 
312.20 ,82.58 ,1370.80 ,61.20 ,48.40 ,12.50 
358.80 ,82.86 ,1336.72 ,60.70 ,48.00 ,10.00 
429.20 ,82.58 ,1294.13 ,60.50 ,47.80 ,9.60 
524.70 ,82.44 ,1213.65 ,60.70 ,48.20 ,8.30 
597.60 ,82.37 ,1176.94 ,61.40 ,49.30 ,7.90 
533.00 ,82.72 ,1186.81 ,61.60 ,49.70 ,8.60 
586.20 ,82.86 ,1229.16 ,61.80 ,50.10 ,8.60 
721.10 ,83.07 ,1208.94 ,61.80 ,50.30 ,7.60 
745.40 ,82.93 ,1197.00 ,62.00 ,50.60 ,8.30 
841.40 ,82.44 ,1169.63 ,62.00 ,50.90 ,8.10 
971.40 ,82.16 ,1186.04 ,62.20 ,51.20 ,8.60 
933.10 ,83.00 ,1199.79 ,62.60 ,51.80 ,9.90 
926.90 ,83.21 ,1196.97 ,63.10 ,52.50 ,10.40 
828.60 ,83.84 ,1206.38 ,63.10 ,52.60 ,9.10 
950.10 ,83.70 ,1177.22 ,62.90 ,52.40 ,9.50 
984.50 ,83.56 ,1138.39 ,62.80 ,52.40 ,9.90 
952.50 ,83.93 ,1131.07 ,63.00 ,52.60 ,10.30 
902.70 ,84.19 ,1128.80 ,63.30 ,53.00 ,10.00 
878.40 ,84.61 ,1117.19 ,63.50 ,53.30 ,10.00 
779.80 ,84.27 ,1109.76 ,63.60 ,53.40 ,10.00 
720.80 ,83.85 ,1120.01 ,63.50 ,53.30 ,9.90 
795.10 ,84.27 ,1118.73 ,63.30 ,53.20 ,9.70 
794.10 ,84.61 ,1114.86 ,63.30 ,53.30 ,9.10 
720.40 ,85.04 ,1114.57 ,63.50 ,53.40 ,9.00 
622.90 ,86.14 ,1116.50 ,63.60 ,53.60 ,9.00 
548.10 ,86.05 ,1127.31 ,63.70 ,53.70 ,8.70 
544.10 ,85.55 ,1151.15 ,63.50 ,53.50 ,8.40 
526.40 ,85.88 ,1214.40 ,63.10 ,53.10 ,8.10 
585.00 ,86.82 ,1272.82 ,63.00 ,53.10 ,7.80 
593.40 ,87.24 ,1252.44 ,63.20 ,53.40 ,6.80 
543.90 ,88.01 ,1288.43 ,63.60 ,53.90 ,7.20 
530.30 ,88.35 ,1325.55 ,64.00 ,54.40 ,7.90 
600.70 ,88.26 ,1298.46 ,64.50 ,55.00 ,7.70 
602.90 ,88.52 ,1293.83 ,65.00 ,55.70 ,7.20 
554.10 ,88.69 ,1302.60 ,65.80 ,56.70 ,7.00 
567.70 ,89.02 ,1285.39 ,67.10 ,58.20 ,6.50 
504.00 ,88.94 ,1293.70 ,68.10 ,59.40 ,6.30 
523.30 ,88.94 ,1302.60 ,68.50 ,59.80 ,6.30 
604.90 ,88.43 ,1284.00 ,68.70 ,60.10 ,6.80 
666.00 ,88.60 ,1289.66 ,69.30 ,60.80 ,7.10 
739.00 ,89.11 ,1317.60 ,71.10 ,63.30 ,7.10 
774.40 ,89.53 ,1318.72 ,72.90 ,65.50 ,6.90 
864.70 ,90.04 ,1322.51 ,74.60 ,67.50 ,7.10 
894.00 ,90.55 ,1318.93 ,75.30 ,68.10 ,7.20 
842.20 ,90.89 ,1266.06 ,75.80 ,68.40 ,7.10 
784.30 ,90.81 ,1223.47 ,76.10 ,68.80 ,6.80 
753.70 ,90.55 ,1185.12 ,76.80 ,69.80 ,6.60 
713.20 ,91.15 ,1196.37 ,78.20 ,71.50 ,6.20 
703.00 ,91.66 ,1208.50 ,80.10 ,73.90 ,6.10 
642.20 ,91.40 ,1241.13 ,80.50 ,74.30 ,6.00 
